repeats m,"pairs C(m,2)",implied per-pair agreement,implied per-pair disagreement,implied per-pair disagreement %
2,1,0.29900000000000004,0.701,70.1
3,3,0.6686883076988654,0.33131169230113455,33.1
4,6,0.8177336410463162,0.18226635895368382,18.2
5,10,0.8862721836261935,0.11372781637380647,11.4
6,15,0.9226664857070758,0.07733351429292423,7.7
7,21,0.9441303557992766,0.05586964420072338,5.6
8,28,0.9577980996059388,0.04220190039406124,4.2
9,36,0.9670196760029296,0.032980323997070404,3.3
10,45,0.9735275554600648,0.026472444539935247,2.6
