band,space_id,orid,sha,n_claims,logbook_chars,prompt_chars,truncated
m=6-10,rahit/repro-stochastic-gradient-methods-under-heavy-tailed-noises-in-weakly-convex-optimization,Q15yX0AZdr,bf10519b85781b51b1da7a06738954f332009649,5,21616,23364,False
m=6-10,michaldobiezynski/repro-riemannian-dueling-optimization,nDfDnsyllY,27bb53122e87347317439ae1d016326b7a016614,6,22607,24596,False
m=6-10,imadreamerboy/repro-saqnn-spectral-adaptive-quantum-neural-network-as-a-universal-approximator,QaHFVheV8X,e027baf85169cb11bfbce1faa37ca3f31e8f57a5,5,4891,7137,False
m=6-10,ProCreations/repro-gaussian-universality-breakdown-native,UHQDfvZBFi,5e06bb2cb5fa03986b6ab188ef798fe5f996ec3b,5,11789,13758,False
m=6-10,Srishti280992/repro-diffusion-flow-matching-dimension-improved-kl-bounds-and-wasserstein-guarantees,zl3akehFBq,fd8b88273f54004dc8f43fd79fde5cf733eb86b6,6,30751,33137,False
m=6-10,SabaPivot/repro-skewness-robust-causal-discovery-in-location-scale-noise-models,mXn4ueFKnQ,735991fd693006b27cd73f94c64153687b5b3b4a,6,6263,8290,False
m>10,ProCreations/repro-on-the-provable-suboptimality-of-momentum-sgd-in-nonstationary-stochastic-optimization,U1bxeLQLaK,b0764160bf954e6ecc8ada16717a12e881e71aba,3,10634,11771,False
m>10,jbhati305/repro-mirror-descent-under-generalized-smoothness,j9aoIFr5aM,bcdeec1fe7cf577cfc81a3469dcbb1245db6ed83,6,4618,6639,False
m>10,algorise/repro-sharp-inequalities-between-total-variation-and-hellinger-distances-for-gaussian-mixtures,ihMB4kA2SQ,f03cdec563e47a8d49643c75046738ce890afefc,5,22113,24089,False
m>10,amkkk/repro-prior-diffusiveness-and-regret-in-the-linear-gaussian-bandit,GeYKOC4BzB,cf5077ab9b71d0477cae40b28f78a75de3b5e887,5,16700,18643,False
m>10,ICML-2026-agent-repro/repro-grpo-rlvr-loss-dynamics-success-amplification,z9Bo4eXSpW,14b509702df8874fe584820f711c995b8491b918,5,39026,40813,False
