alpha_true,eps,D_o,N_claims,rejudgments,halfwidth,ci_lo,ci_hi
0.5,0.29289321881343156,0.31147560010222375,984,1968,0.045766669696230555,0.45423333030376944,0.5453321898557861
0.6,0.2254033307585166,0.24918048008179372,984,1968,0.046134357266141346,0.5538656427338586,0.640906532387512
0.667,0.1832993204361833,0.20744274966809328,729,1458,0.04659973336981427,0.6205149134028508,0.7135997333698143
0.75,0.13397459621556132,0.15573780005112103,729,1458,0.04161019777482644,0.7083898022251736,0.7896487537626605
0.85,0.07804555427080102,0.09344268003077583,400,800,0.04583728899931061,0.8041627110006894,0.8935261964022477
0.9,0.05131670194948732,0.06229512002044968,297,594,0.050604687171770246,0.8493953128282298,0.9409157639363035
0.953,0.023782811050737544,0.029278706409610944,163,326,0.04315904991373476,0.9098409500862652,0.990284877290527
